,IDStation,NameStation,Date,Ammonia,CO,NO2,NOx,Ozone,PM10,PM25,Sulfur_dioxide,Wind_speed,Temperature,Relative_humidity,Global_radiation,Rainfall,Quadrante
130,677,Cremona Via Fatebenefratelli,2014-06-24,10.7,0.2041666666666667,22.825000000000003,28.512500000000003,95.6625,22.0,16.0,1.4208333333333334,0.8578830207437079,24.369444444444447,57.27152777777778,248.9743055555556,0.0,1
131,677,Cremona Via Fatebenefratelli,2014-06-25,10.4,0.2041666666666667,24.48333333333333,30.29583333333333,72.16666666666667,19.0,12.0,0.525,1.1102980831998952,20.558333333333334,79.60902777777778,129.6736111111111,7.4,1
132,677,Cremona Via Fatebenefratelli,2014-06-26,11.4,0.2,26.683333333333334,33.454166666666666,53.06666666666667,29.0,19.0,0.5708333333333334,1.040382147504452,20.4625,84.20833333333333,192.6680555555556,1.0,1
133,677,Cremona Via Fatebenefratelli,2014-06-27,11.0,0.2208333333333333,27.450000000000003,42.829166666666666,65.32916666666667,30.0,25.0,0.9541666666666668,0.5753959702955266,22.68888888888889,68.88541666666667,269.69027777777785,0.2,1
134,677,Cremona Via Fatebenefratelli,2014-06-28,14.7,0.2,24.308333333333334,31.416666666666668,71.3375,33.0,26.0,1.0458333333333334,0.5786796349727829,23.958333333333336,67.0451388888889,230.8284722222222,0.0,1
135,677,Cremona Via Fatebenefratelli,2014-06-29,12.3,0.2041666666666667,20.55,25.44166666666667,59.087500000000006,37.0,24.0,1.3416666666666668,0.9924492377691246,20.765972222222224,86.87152777777779,89.60277777777777,5.600000000000001,1
136,677,Cremona Via Fatebenefratelli,2014-06-30,9.8,0.1625,23.79583333333333,31.05,65.94583333333334,8.0,5.0,1.6625,0.6971383145226513,22.08125,54.92638888888889,331.8375000000001,0.0,4
137,677,Cremona Via Fatebenefratelli,2014-07-01,10.4,0.175,23.879166666666663,30.17083333333333,66.92916666666667,15.0,9.0,1.3791666666666669,1.070711233879298,21.39305555555556,66.51666666666668,258.54375000000005,1.6,1
138,677,Cremona Via Fatebenefratelli,2014-07-02,11.0,0.1875,27.75,36.3,69.45416666666667,20.0,12.0,1.3041666666666667,0.8271567632577683,22.51805555555556,64.33402777777778,226.84791666666663,0.0,4
139,677,Cremona Via Fatebenefratelli,2014-07-03,9.9,0.2166666666666666,27.77083333333333,38.74166666666667,72.8,19.0,15.0,1.4666666666666668,1.0528341453498855,23.553472222222226,57.48194444444445,320.78194444444443,0.0,1
